"letter","count_all","count_uppercase","percentage"
"x",3,0,0.3293084522502744
"h",8,5,0.8781558726673985
"s",11,6,1.2074643249176729
"ب",2,2,0.21953896816684962
"ي",2,2,0.21953896816684962
"ر",2,2,0.21953896816684962
"b",2,0,0.21953896816684962
"c",8,1,0.8781558726673985
"н",2,0,0.21953896816684962
"u",5,0,0.5488474204171241
"о",2,0,0.21953896816684962
"т",1,0,0.10976948408342481
"в",2,0,0.21953896816684962
"w",6,4,0.6586169045005488
"ь",1,0,0.10976948408342481
"ы",1,0,0.10976948408342481
"i",15,1,1.646542261251372
"ص",2,2,0.21953896816684962
"y",6,0,0.6586169045005488
"я",3,0,0.3293084522502744
"k",1,1,0.10976948408342481
"e",20,3,2.1953896816684964
"l",21,0,2.305159165751921
"ع",2,2,0.21953896816684962
"m",6,0,0.6586169045005488
"с",1,0,0.10976948408342481
"г",3,1,0.3293084522502744
"f",9,1,0.9879253567508233
"t",25,8,2.7442371020856204
"r",16,1,1.756311745334797
"и",3,0,0.3293084522502744
"v",3,0,0.3293084522502744
"р",4,2,0.43907793633369924
"d",6,0,0.6586169045005488
"o",15,4,1.646542261251372
"a",24,8,2.634467618002195
"n",12,4,1.3172338090010975
"з",3,0,0.3293084522502744
"ن",2,2,0.21953896816684962
"а",4,0,0.43907793633369924
"p",7,4,0.7683863885839737
"м",1,0,0.10976948408342481
"л",1,0,0.10976948408342481
"б",1,0,0.10976948408342481
